date_time,price,title
20220309-1420,199,"        QNAP TS-230 2-Bay Home NAS Realtek RTD1296 ARM Cortex-A53 Quad-core 1.4 GHz Processor, 2GB DDR4 RAM       "
20220309-1420,169,"        Portable Monitor - Lepow 15.6 Inch Computer Display 1920×1080 Full HD IPS Screen USB C Gaming Monitor with Type-C Mini HDMI for Laptop PC MAC Phone Xbox PS4, Include Smart Cover & Screen Protector       "
